youtuber,video_id,cosine_similarity,js_divergence,l1_distance
zackdfilms,-MohyNaIDgg,1.0,0.0,0.0
zackdfilms,og9NT4Nfqxo,1.0,0.0,0.0
zackdfilms,oedVwJMacjs,1.0,0.0,0.0
zackdfilms,eulG1i95JPM,1.0,0.0,0.0
zackdfilms,AMx1q7xmMq8,1.0,0.0,0.0
zackdfilms,LguFRWf4nRs,1.0,0.0,0.0
zackdfilms,IAUPvEpJMvY,1.0,0.0,0.0
zackdfilms,MLPCPGfLIDM,1.0,0.0,0.0
zackdfilms,dOn3rgeW1Jg,1.0,0.0,0.0
zackdfilms,hdnudSLeHgA,1.0,0.0,0.0
zackdfilms,rQ30NZDYrAY,1.0,0.0,0.0
zackdfilms,2VdbQjMNLpk,1.0,0.0,0.0
zackdfilms,baPzCBpLVrE,1.0,0.0,0.0
caseoh_,EjtBqwzDFxo,1.0,0.0,0.0
caseoh_,laoZGC1H15s,1.0,0.0,0.0
caseoh_,HbTGyvH7XzY,1.0,0.0,0.0
caseoh_,B__3-fDkiYI,1.0,0.0,0.0
caseoh_,9bo_azFE7yw,1.0,0.0,0.0
caseoh_,IzFZGbWBk3o,1.0,0.0,0.0
caseoh_,dsp2MAschog,1.0,0.0,0.0
caseoh_,hOvqB2C9JZ4,1.0,0.0,0.0
caseoh_,9Lkr6Kebe-M,1.0,0.0,0.0
caseoh_,Ixk5gaDCDsM,1.0,0.0,0.0
caseoh_,kPSpyzGZtts,1.0,0.0,0.0
caseoh_,TcCvpz9Q2Kk,1.0,0.0,0.0
caseoh_,a9ztrzQ-E9c,1.0,0.0,0.0
caseoh_,X4vkAD_YCvI,1.0,0.0,0.0
caseoh_,mP7QpJ2XhBg,1.0,0.0,0.0
caseoh_,PqK3_x1JqNM,1.0,0.0,0.0
caseoh_,8YRGIjUvOjY,1.0,0.0,0.0
caseoh_,rit_X4BTBHQ,1.0,0.0,0.0
caseoh_,aOJu7bMM4TE,1.0,0.0,0.0
caseoh_,nuMwucV2N50,1.0,0.0,0.0
caseoh_,EU54uFdJUhg,1.0,0.0,0.0
caseoh_,oOtf-CFUr_I,1.0,0.0,0.0
caseoh_,ZG1-8vZYt1k,1.0,0.0,0.0
caseoh_,fIVzIRf8tWM,1.0,0.0,0.0
caseoh_,DmPdNVjNJ_Y,1.0,0.0,0.0
caseoh_,KpDx6nN5nK8,1.0,0.0,0.0
caseoh_,gTl8sLuU588,1.0,0.0,0.0
caseoh_,HZQ1NbcHyiQ,1.0,0.0,0.0
caseoh_,trXQwiakNk4,1.0,0.0,0.0
caseoh_,tApl_Z0sxQU,1.0,0.0,0.0
caseoh_,6mLZO6TPBj8,1.0,0.0,0.0
caseoh_,YVwq-AQeCAE,1.0,0.0,0.0
caseoh_,7VGRG8x8MS4,1.0,0.0,0.0
caseoh_,l-OiloYdHQw,1.0,0.0,0.0
caseoh_,JirkT8VAUmQ,1.0,0.0,0.0
caseoh_,cHif_9SYHFI,1.0,0.0,0.0
caseoh_,wyTiDQqp6II,1.0,0.0,0.0
caseoh_,SpLZB5SSrxI,1.0,0.0,0.0
caseoh_,L2_GubiZrek,1.0,0.0,0.0
caseoh_,3PU4pWbkc30,1.0,0.0,0.0
caseoh_,PbpJHTmpojQ,1.0,0.0,0.0
caseoh_,1_ayDGzxMAM,1.0,0.0,0.0
caseoh_,ozYQmGbt_9M,1.0,0.0,0.0
caseoh_,FgE9U5720N4,1.0,0.0,0.0
caseoh_,yu_xbShYv7M,1.0,0.0,0.0
caseoh_,C9EWBGxvjA4,1.0,0.0,0.0
caseoh_,IGImZoPRkUU,1.0,0.0,0.0
caseoh_,zktqTtq6u0Q,1.0,0.0,0.0
caseoh_,gBXH2YzLfA4,1.0,0.0,0.0
caseoh_,IKuncOdA7hY,1.0,0.0,0.0
caseoh_,8oC1jcNZxhM,1.0,0.0,0.0
caseoh_,G0Wxjcii66w,1.0,0.0,0.0
caseoh_,KbGy56iHEKw,1.0,0.0,0.0
caseoh_,va4QejiUg8A,1.0,0.0,0.0
caseoh_,icfL0gn6WyQ,1.0,0.0,0.0
caseoh_,xPvFLT77bMY,1.0,0.0,0.0
caseoh_,C81IB5yBxYs,1.0,0.0,0.0
caseoh_,8II2e78uops,1.0,0.0,0.0
caseoh_,T0zuxBs4ilc,1.0,0.0,0.0
caseoh_,4ysiFHJb7Ts,1.0,0.0,0.0
nickdigiovanni,etipRobcPzw,1.0,0.0,0.0
nickdigiovanni,P-McMn-_UqQ,1.0,0.0,0.0
nickdigiovanni,iUa2kZfYij8,1.0,0.0,0.0
nickdigiovanni,VPHf42GZPvE,1.0,0.0,0.0
nickdigiovanni,46HmRBSiifk,1.0,0.0,0.0
nickdigiovanni,dB8pNHOgW2M,1.0,0.0,0.0
nickdigiovanni,EaLJhNI_B6A,1.0,0.0,0.0
nickdigiovanni,zokq8tqCd8o,1.0,0.0,0.0
nickdigiovanni,ScFqm1anPVA,1.0,0.0,0.0
nickdigiovanni,qRRfksZxLyc,1.0,0.0,0.0
nickdigiovanni,Z9pndnCeLYk,1.0,0.0,0.0
nickdigiovanni,yOubvvnmR-8,1.0,0.0,0.0
nickdigiovanni,WEdh0SLhw1M,1.0,0.0,0.0
nickdigiovanni,B_0NejPbnJo,1.0,0.0,0.0
nickdigiovanni,7OJ6xn29LVo,1.0,0.0,0.0
nickdigiovanni,YsTrgGPEsQA,1.0,0.0,0.0
nickdigiovanni,h0HjktaeEpA,1.0,0.0,0.0
nickdigiovanni,NtwEfTeakFg,1.0,0.0,0.0
nickdigiovanni,9Xhh9fQ8EfQ,1.0,0.0,0.0
nickdigiovanni,cLKCDaNRHW0,1.0,0.0,0.0
nickdigiovanni,e0uWseAx1r4,1.0,0.0,0.0
nickdigiovanni,NCpKG3htYIA,1.0,0.0,0.0
nickdigiovanni,TzA8Kbh6hlw,1.0,0.0,0.0
nickdigiovanni,nuNI7tr0YZE,1.0,0.0,0.0
nickdigiovanni,z2hQjpNoCUM,1.0,0.0,0.0
nickdigiovanni,9gnX2W2XwcI,1.0,0.0,0.0
nickdigiovanni,eUQZcXrciRA,1.0,0.0,0.0
nickdigiovanni,W7yCMkdexvs,1.0,0.0,0.0
nickdigiovanni,PdSF9yRCZWk,1.0,0.0,0.0
nickdigiovanni,2hf2j1ZUH2g,1.0,0.0,0.0
nickdigiovanni,vmk2M4Pj6Ho,1.0,0.0,0.0
nickdigiovanni,6T6kQUOGkYU,1.0,0.0,0.0
nickdigiovanni,H0X4PZSFtak,1.0,0.0,0.0
nickdigiovanni,fLrrdBKnh8Q,1.0,0.0,0.0
nickdigiovanni,Oa_oEcz7up0,1.0,0.0,0.0
nickdigiovanni,0dJ_2gXj9Ko,1.0,0.0,0.0
nickdigiovanni,hqhVdnrHMtc,1.0,0.0,0.0
nickdigiovanni,yyBRCWwrrlM,1.0,0.0,0.0
nickdigiovanni,lg7VImVeZCA,1.0,0.0,0.0
nickdigiovanni,BmicBpOXPlc,1.0,0.0,0.0
nickdigiovanni,Lu36TB_ZLFI,1.0,0.0,0.0
nickdigiovanni,8ewFBbyNtgk,1.0,0.0,0.0
nickdigiovanni,aw0_klOuTDg,1.0,0.0,0.0
nickdigiovanni,-tKTYip01Ac,1.0,0.0,0.0
nickdigiovanni,qWoesBSmqZ4,1.0,0.0,0.0
nickdigiovanni,6Db60rwdOuY,1.0,0.0,0.0
nickdigiovanni,oFFdtWnZ5Jk,1.0,0.0,0.0
nickdigiovanni,u3Qw2fkhrVQ,1.0,0.0,0.0
nickdigiovanni,5bevi_0v6wU,1.0,0.0,0.0
nickdigiovanni,_DAjpJf5Drg,1.0,0.0,0.0
nickdigiovanni,sd0hQ3D8PiU,1.0,0.0,0.0
nickdigiovanni,wAn2kcKvGQs,1.0,0.0,0.0
nickdigiovanni,zpTOtt9gOE8,1.0,0.0,0.0
nickdigiovanni,CgsDmDeg2ck,1.0,0.0,0.0
nickdigiovanni,pOFfl-b0SEw,1.0,0.0,0.0
nickdigiovanni,pi6QU4kgRXA,1.0,0.0,0.0
cristiano,PbgUg_aBHf4,1.0,0.0,0.0
cristiano,I74FAkaL1Fk,1.0,0.0,0.0
cristiano,jeDKsg8r3ew,1.0,0.0,0.0
cristiano,tizVemSwwmc,1.0,0.0,0.0
cristiano,35S7zTBFRhQ,1.0,0.0,0.0
cristiano,7JZPEeZFjKw,1.0,0.0,0.0
cristiano,ZkuaJYurYHw,1.0,0.0,0.0
cristiano,M8KHrlhDNIY,1.0,0.0,0.0
cristiano,ORc2270vgqs,1.0,0.0,0.0
cristiano,zuRujkxTv2Y,1.0,0.0,0.0
cristiano,WAz6enaA9nE,1.0,0.0,0.0
cristiano,PX8ykesLfSE,1.0,0.0,0.0
cristiano,55U2mLxARC4,1.0,0.0,0.0
cristiano,UyV8pwPpLJQ,1.0,0.0,0.0
cristiano,0kaEMM58_AY,1.0,0.0,0.0
cristiano,-nwzc7plJQw,1.0,0.0,0.0
cristiano,etps-RdsTz0,1.0,0.0,0.0
cristiano,9KXHnqrXZhk,1.0,0.0,0.0
cristiano,wL5wdyA5guU,1.0,0.0,0.0
cristiano,jCaRbVmh0Ms,1.0,0.0,0.0
cristiano,vtO5WHKUmBU,1.0,0.0,0.0
cristiano,806U1EE9edg,1.0,0.0,0.0
cristiano,CuIBAT_sgrg,1.0,0.0,0.0
cristiano,Bp8EjnJU87w,1.0,0.0,0.0
cristiano,A2WSZ3hfUzE,1.0,0.0,0.0
cristiano,C1KCzk0FCCs,1.0,0.0,0.0
cristiano,6IBDljy4fos,1.0,0.0,0.0
cristiano,aDF_ESN80r8,1.0,0.0,0.0
cristiano,_ZsZ4-HyjCg,1.0,0.0,0.0
cristiano,WKd8KMaJ0r0,1.0,0.0,0.0
cristiano,w-58fI22LU8,1.0,0.0,0.0
cristiano,IgS9lBdpvT0,1.0,0.0,0.0
cristiano,PjmSUJBBvgQ,1.0,0.0,0.0
cristiano,7rMXmIGJZAQ,1.0,0.0,0.0
cristiano,KWlnfCZeN74,1.0,0.0,0.0
cristiano,5l8YJCzzryc,1.0,0.0,0.0
cristiano,GuKBqwp1XMc,1.0,0.0,0.0
cristiano,nOG-CaENIEY,1.0,0.0,0.0
cristiano,K-oLr-43ejs,1.0,0.0,0.0
cristiano,9bPo1-YAfhw,1.0,0.0,0.0
cristiano,1ddy3O1Ma4U,1.0,0.0,0.0
cristiano,SG2f3r2Fz6Y,1.0,0.0,0.0
cristiano,AHSvnq4acvw,1.0,0.0,0.0
cristiano,THfRxNX5xaw,1.0,0.0,0.0
cristiano,WhEH6nCYFy0,1.0,0.0,0.0
cristiano,z-ZHtSfWiMw,1.0,0.0,0.0
cristiano,RvdxPiHOM1M,1.0,0.0,0.0
camillaara,M20N5QpeluM,1.0,0.0,0.0
camillaara,OytMHdRnYiw,1.0,0.0,0.0
camillaara,tO1SUwesldc,1.0,0.0,0.0
camillaara,HRdP4Hw4948,1.0,0.0,0.0
camillaara,Eh5PG-EHE2s,1.0,0.0,0.0
camillaara,r9KDieWOH9I,1.0,0.0,0.0
camillaara,Z9E3ZlKnQSo,1.0,0.0,0.0
camillaara,LIDl5QJDqOg,1.0,0.0,0.0
camillaara,ffJmg6TWpbI,1.0,0.0,0.0
camillaara,C8PLmqHMPoo,1.0,0.0,0.0
camillaara,duIsflHdwiw,1.0,0.0,0.0
camillaara,sX2Rw5r3ziA,1.0,0.0,0.0
camillaara,HIQPz31INn8,1.0,0.0,0.0
camillaara,5kAjqv3r2sU,1.0,0.0,0.0
camillaara,4TMXkvCWf8o,1.0,0.0,0.0
camillaara,YehgKXNUxZA,1.0,0.0,0.0
camillaara,udnv5uIRLik,1.0,0.0,0.0
camillaara,PbCZ1c0xX14,1.0,0.0,0.0
camillaara,ArDHcq_urqQ,1.0,0.0,0.0
camillaara,pV3DuTS0HFA,1.0,0.0,0.0
